gaiaid,Vmag,period,feh,feh_e,AV_SandF,AV_SFD
3111925220109675136,11.5276,-0.322095,-0.6,0.13,0.3082,0.3584
5360400630327427072,11.3856,-0.277834,-1.6,0.13,0.8532,0.9921
3604450388616968576,11.4926,-0.211066,-1.6,0.13,0.1948,0.2265
3677686044939929728,11.3491,-0.279211,-2.2,0.13,0.084,0.0977
5335614752064948224,11.9208,-0.343723,-2.35,0.13,2.2596,2.6274
5810433728873201408,12.2945,-0.326237,-0.75,0.13,0.2239,0.2603
3030561879348972544,11.3091,-0.134184,-1.4,0.13,0.9569,1.1127
6701724002113004928,11.9687,-0.279842,-1.7,0.13,0.3296,0.3832
2371321782802181888,11.6571,-0.231895,-1.45,0.13,0.0642,0.0746
2981136563934324224,9.7737,-0.231176,-1.45,0.13,0.1773,0.2062
4818854972838127360,10.9036,-0.319809,-1.35,0.13,0.0779,0.0906
3652665558338018048,11.5573,-0.386361,-0.75,0.13,0.1114,0.1295
5045760843864182528,12.3062,-0.094873,-1.75,0.13,0.0401,0.0467
4860671839583430912,11.0749,-0.217994,-1.95,0.13,0.0372,0.0432
4818348922610995200,12.1142,-0.376978,-0.75,0.13,0.0382,0.0444
2973463347160718976,10.5466,-0.235469,-2.1,0.13,0.091,0.1058
4784552718312266624,11.3411,-0.356171,-0.6,0.13,0.0261,0.0304
2414817603803476864,12.0383,-0.217483,-1.75,0.13,0.0606,0.0705
6730211038418525056,10.5696,-0.229641,-1.55,0.13,0.273,0.3175
6120897123486850944,11.3367,-0.30629,-1.7,0.13,0.2306,0.2682
5283957629860435072,11.7502,-0.243676,-1.6,0.13,0.1733,0.2015
4417888542753226112,10.1917,-0.146243,-1.95,0.13,0.1116,0.1298
5461994302138361728,10.8246,-0.240833,-1.8,0.13,0.1811,0.2106
5918501428232052992,12.0898,-0.230211,-1.0,0.13,0.2882,0.3351
3587566361077304704,11.4021,-0.134989,-1.7,0.13,0.0748,0.0869
6787617919184986496,11.5846,-0.231423,-1.65,0.13,0.2571,0.299
4825302302864705152,12.4945,-0.312167,-1.55,0.13,0.0618,0.0719
234108363683247616,10.4987,-0.371041,-0.41,0.1,3.4826,4.0495
315028326379733760,12.4239,-0.249395,-1.51,0.12,0.1022,0.1188
349612816093349120,12.1825,-0.314507,-0.57,0.1,0.1793,0.2085
630421935431871232,10.7454,-0.344478,-1.49,0.1,0.1155,0.1343
1009665142487836032,9.8633,-0.223718,-1.64,0.1,0.0475,0.0552
1058066262817534336,9.7935,-0.180185,-1.91,0.1,0.0265,0.0308
1286188056265485952,10.345,-0.423276,-0.49,0.1,0.0394,0.0458
1374971558625266432,10.8996,-0.206009,-1.77,0.1,0.0531,0.0618
1483653713185923072,10.5195,-0.258247,-1.32,0.14,0.0119,0.0138
1533880980593444352,12.0572,-0.156266,-2.35,0.13,0.0631,0.0734
